操作时间	操作人	操作记录
Tue_May_22_14:38:28_2018	Admin	创建了教职工账户王芳
Tue_May_22_14:44:29_2018	Admin	创建了教职工账户李华
Tue_May_22_14:45:51_2018	Admin	注册了学生林子豪
Tue_May_22_22:26:08_2018	李华	修改密码
Tue_May_22_22:27:43_2018	李华	发布公告
Tue_May_22_22:29:34_2018	李华	给林子豪写了一封电子邮件
Tue_May_22_22:30:01_2018	李华	给李华写了一封电子邮件
Tue_May_22_22:30:03_2018	李华	查看邮件
Tue_May_22_22:34:12_2018	李华	查看邮件
Tue_May_22_22:40:14_2018	林书	写入反馈
Tue_May_22_23:13:51_2018	李华	查看邮件
Tue_May_22_23:15:07_2018	李华	给李华写了一封电子邮件
Tue_May_22_23:15:10_2018	李华	查看邮件
Tue_May_22_23:40:45_2018	李华	发布公告
Tue_May_22_23:44:58_2018	李华	查看邮件
Tue_May_22_23:46:08_2018	李华	查看邮件
Tue_May_22_23:47:17_2018	李华	回复反馈
Wed_May_23_16:08:21_2018	林子豪	查看档案
Wed_May_23_16:09:44_2018	林子豪	查看档案
Wed_May_23_16:11:59_2018	李华	发布公告
Wed_May_23_16:15:46_2018	李华	查看个人档案
Wed_May_23_16:16:35_2018	李华	修改个人档案--职称
Wed_May_23_16:17:36_2018	李华	查看个人档案
Wed_May_23_16:17:47_2018	李华	修改个人档案--职称
Wed_May_23_16:18:02_2018	李华	查看个人档案
Wed_May_23_16:18:09_2018	李华	修改个人档案--职称
Wed_May_23_16:18:13_2018	李华	查看个人档案
Wed_May_23_16:20:35_2018	李华	查看个人档案
Wed_May_23_16:20:40_2018	李华	修改个人档案--职称
Wed_May_23_16:20:44_2018	李华	查看个人档案
Wed_May_23_16:21:01_2018	李华	查看邮件
Wed_May_23_16:23:49_2018	林子豪	林子豪写信给李华
Wed_May_23_16:27:22_2018	林子豪	查看档案
Wed_May_23_16:31:36_2018	林子豪	林子豪写信给林子豪
Wed_May_23_18:46:34_2018	李华	录入2018-05-23日示例课课程学生考勤情况
Wed_May_23_19:02:52_2018	李华	录入2018-05-23日物流与社会课程学生考勤情况
Wed_May_23_19:44:55_2018	李华	录入示例课课程学生成绩
Wed_May_23_19:49:21_2018	李华	录入物流与社会课程学生成绩
Wed_May_23_20:02:42_2018	林子豪	查看档案
